"","X","Y"
"626","ENSG00000162607","USP1"
"627","ENSG00000116641","DOCK7"
"628","ENSG00000125703","ATG4C"
"629","ENSG00000230798","FOXD3-AS1"
"630","ENSG00000187140","FOXD3"
"631","ENSG00000088035","ALG6"
"632","ENSG00000142856","ITGB3BP"
"633","ENSG00000203965","EFCAB7"
"634","ENSG00000116652","DLEU2L"
"635","ENSG00000079739","PGM1"
"636","ENSG00000244256","RN7SL130P"
"637","ENSG00000185483","ROR1"
"638","ENSG00000158966","CACHD1"
"639","ENSG00000162437","RAVER2"
"640","ENSG00000162434","JAK1"
"641","ENSG00000162433","AK4"
"642","ENSG00000116675","DNAJC6"
"643","ENSG00000213625","LEPROT"
"644","ENSG00000116678","LEPR"
"645","ENSG00000184588","PDE4B"
"646","ENSG00000152763","WDR78"
"647","ENSG00000198160","MIER1"
"648","ENSG00000116704","SLC35D1"
"649","ENSG00000142864","SERBP1"
"650","ENSG00000116717","GADD45A"
"651","ENSG00000172380","GNG12"
"652","ENSG00000232284","GNG12-AS1"
"653","ENSG00000162595","DIRAS3"
"654","ENSG00000116729","WLS"
"655","ENSG00000234383","CTBP2P8"
"656","ENSG00000024526","DEPDC1"
"657","ENSG00000233589",""
"658","ENSG00000234264","DEPDC1-AS1"
"659","ENSG00000033122","LRRC7"
"660","ENSG00000066557","LRRC40"
"661","ENSG00000116754","SRSF11"
"662","ENSG00000118454","ANKRD13C"
"663","ENSG00000197568","HHLA3"
"664","ENSG00000226088",""
"665","ENSG00000116761","CTH"
"666","ENSG00000132485","ZRANB2"
"667","ENSG00000172260","NEGR1"
"668","ENSG00000233994","GDI2P2"
"669","ENSG00000162620","LRRIQ3"
"670","ENSG00000254685","FPGT"
"671","ENSG00000116791","CRYZ"
"672","ENSG00000162623","TYW3"
"673","ENSG00000137968","SLC44A5"
"674","ENSG00000117054","ACADM"
"675","ENSG00000181227","DLSTP1"
"676","ENSG00000137955","RABGGTB"
"677","ENSG00000226415","TPI1P1"
"678","ENSG00000117069","ST6GALNAC5"
"679","ENSG00000142892","PIGK"
"680","ENSG00000154027","AK5"
"681","ENSG00000036549",""
"682","ENSG00000077254","USP33"
"683","ENSG00000180488","MIGA1"
"684","ENSG00000219201",""
"685","ENSG00000235927","NEXN-AS1"
"686","ENSG00000162614","NEXN"
"687","ENSG00000162613","FUBP1"
"688","ENSG00000162616","DNAJB4"
"689","ENSG00000273338",""
"690","ENSG00000122420","PTGFR"
"691","ENSG00000137959","IFI44L"
"692","ENSG00000137965","IFI44"
"693","ENSG00000235400",""
"694","ENSG00000117114","ADGRL2"
"695","ENSG00000137941","TTLL7"
"696","ENSG00000271576",""
"697","ENSG00000142875","PRKACB"
"698","ENSG00000226970",""
"699","ENSG00000203943","SAMD13"
"700","ENSG00000117133","RPF1"
"701","ENSG00000174021","GNG5"
"702","ENSG00000122432","SPATA1"
"703","ENSG00000117151","CTBS"
"704","ENSG00000117155","SSX2IP"
"705","ENSG00000153898","MCOLN2"
"706","ENSG00000055732","MCOLN3"
"707","ENSG00000280099",""
"708","ENSG00000097096","SYDE2"
"709","ENSG00000162642","C1orf52"
"710","ENSG00000142867","BCL10"
"711","ENSG00000153904","DDAH1"
"712","ENSG00000282057",""
"713","ENSG00000142871","CCN1"
"714","ENSG00000117174","ZNHIT6"
"715","ENSG00000122417","ODF2L"
"716","ENSG00000261737",""
"717","ENSG00000097033","SH3GLB1"
"718","ENSG00000183291","SELENOF"
"719","ENSG00000153936","HS2ST1"
"720","ENSG00000143013","LMO4"
"721","ENSG00000065243","PKN2"
"722","ENSG00000241975","ELOCP19"
"723","ENSG00000137947","GTF2B"
"724","ENSG00000137944","KYAT3"
"725","ENSG00000213516","RBMXL1"
"726","ENSG00000117226","GBP3"
"727","ENSG00000117228","GBP1"
"728","ENSG00000234518","PTGES3P1"
"729","ENSG00000162645","GBP2"
"730","ENSG00000162654","GBP4"
"731","ENSG00000197147","LRRC8B"
"732","ENSG00000171488","LRRC8C"
"733","ENSG00000171492","LRRC8D"
"734","ENSG00000228175","GEMIN8P4"
"735","ENSG00000162664","ZNF326"
"736","ENSG00000233593","LINC02609"
"737","ENSG00000122482","ZNF644"
"738","ENSG00000162669","HFM1"
"739","ENSG00000097046","CDC7"
"740","ENSG00000069702","TGFBR3"
"741","ENSG00000172031","EPHX4"
"742","ENSG00000189195","BTBD8"
"743",NA,NA
"744","ENSG00000174842","GLMN"
"745","ENSG00000122484","RPAP2"
"746","ENSG00000162676","GFI1"
"747","ENSG00000067208","EVI5"
"748","ENSG00000122406","RPL5"
"749","ENSG00000154511","DIPK1A"
